2026-07-20 14:05:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:10:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 13:45:00 (Monday) UTC
2026-07-20 14:10:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 13:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:15:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:00:00 (Monday) UTC
2026-07-20 14:15:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 14:00:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64514.39 slow=64484.01). No crossover.
2026-07-20 14:20:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:00:00 (Monday) UTC
2026-07-20 14:20:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:25:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:00:00 (Monday) UTC
2026-07-20 14:25:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:30:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:15:00 (Monday) UTC
2026-07-20 14:30:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 14:15:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64504.81 slow=64482.42). No crossover.
2026-07-20 14:35:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:15:00 (Monday) UTC
2026-07-20 14:35:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:40:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:15:00 (Monday) UTC
2026-07-20 14:40:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:15:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:45:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:30:00 (Monday) UTC
2026-07-20 14:45:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 14:30:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64490.25 slow=64477.84). No crossover.
2026-07-20 14:50:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:30:00 (Monday) UTC
2026-07-20 14:50:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 14:55:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:30:00 (Monday) UTC
2026-07-20 14:55:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:30:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 15:00:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:45:00 (Monday) UTC
2026-07-20 15:00:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 14:45:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64475.40 slow=64472.22). No crossover.
2026-07-20 15:05:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:45:00 (Monday) UTC
2026-07-20 15:05:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 15:10:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 14:45:00 (Monday) UTC
2026-07-20 15:10:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 14:45:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 15:15:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 15:00:00 (Monday) UTC
2026-07-20 15:15:20Z | INFO    | signal | [BTC/USDT] New bar 2026-07-20 15:00:00 (Monday) UTC processed: fast EMA still above slow EMA (fast=64573.92 slow=64517.30). No crossover.
2026-07-20 15:20:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 15:00:00 (Monday) UTC
2026-07-20 15:20:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 15:00:00 (Monday) UTC already processed). Nothing to do.
2026-07-20 15:25:20Z | INFO    | market_data | [BTC/USDT] 100 candles from taapi (exchange: binance), dropped the forming one -> newest closed bar 2026-07-20 15:00:00 (Monday) UTC
2026-07-20 15:25:20Z | INFO    | signal | [BTC/USDT] No new closed bar (newest 2026-07-20 15:00:00 (Monday) UTC already processed). Nothing to do.
